ชื่อกลุ่ม,อายุหัวหน้ากลุ่ม,รายได้หัวหน้ากลุ่ม,อาชีพหัวหน้ากลุ่ม,ประเภทรายได้หัวหน้ากลุ่ม
บ้านใหม่,61.0,20000.0,ค้าขาย/ธุรกิจส่วนตัว,0
บือติงหะยีเเม,44.0,5000.0,รับจ้าง/ลูกจ้างทั่วไป,0
ฮัมดีย์,42.0,21600.0,ข้าราชการ/รัฐวิสาหกิจ,1
นูรปะการอ,38.0,8000.0,ค้าขาย/ธุรกิจส่วนตัว,0
ซู ยูโย,61.0,7000.0,รับจ้าง/ลูกจ้างทั่วไป,0
คลองรี,49.0,5000.0,อาชีพอิสระ/งานบริการ,0
สมาชิกสหกรณ์ทั่วไป,37.0,8500.0,ไม่ระบุอาชีพ,0
ตาอาวุน,54.0,15000.0,ข้าราชการ/รัฐวิสาหกิจ,1
กอลอบารัต,60.0,6000.0,รับจ้าง/ลูกจ้างทั่วไป,0
รูสะมิแล,37.0,8500.0,ไม่ระบุอาชีพ,0
โรตีกรอบ,48.0,4000.0,รับจ้าง/ลูกจ้างทั่วไป,0
กะจิปุยุด,53.0,7000.0,ค้าขาย/ธุรกิจส่วนตัว,0
อบต.บานา,37.0,8500.0,ไม่ระบุอาชีพ,0
กำปงชามู,34.0,7000.0,ค้าขาย/ธุรกิจส่วนตัว,0
สามัคคี ก,37.0,8500.0,ไม่ระบุอาชีพ,0
บาลัยดูวอ,54.0,10000.0,ค้าขาย/ธุรกิจส่วนตัว,0
ตูยง ปอเนาะฮูตันอาฆู,37.0,8500.0,ไม่ระบุอาชีพ,0
กูแบซือโยะ,51.0,7000.0,รับจ้าง/ลูกจ้างทั่วไป,0
นัดพงนิบง,34.0,10000.0,ค้าขาย/ธุรกิจส่วนตัว,0
จะห์ยอ ญาญอ,37.0,8500.0,ไม่ระบุอาชีพ,0
บางตาวาอามานะห์,37.0,8500.0,ไม่ระบุอาชีพ,0
มัสยิดนูรุลยันนะ มายอ,46.0,20000.0,ข้าราชการ/รัฐวิสาหกิจ,1
หลังวังตุยงอามานะห์,55.0,10000.0,ค้าขาย/ธุรกิจส่วนตัว,0
บ่อทองอามานะห์,53.0,8000.0,อาชีพอิสระ/งานบริการ,0
ตือลาฆอบากง  อามานะห์,66.0,10000.0,เกษตรกรรม,0
ซอฮาบัต ตะลุโบะ,47.0,5000.0,รับจ้าง/ลูกจ้างทั่วไป,0
กาเดาะอามานะห์,51.0,7000.0,ข้าราชการ/รัฐวิสาหกิจ,1
ช่อผกา,37.0,8500.0,ไม่ระบุอาชีพ,0
สตรีตูยง 1,58.0,3500.0,อาชีพอิสระ/งานบริการ,0
สตรีตูยง 2,64.0,9200.0,รับจ้าง/ลูกจ้างทั่วไป,0
สตรีตูยง 3,72.0,5000.0,รับจ้าง/ลูกจ้างทั่วไป,0
นูร-อามาล,54.0,10000.0,ค้าขาย/ธุรกิจส่วนตัว,0
ดารุลอินซาน,41.0,11500.0,รับจ้าง/ลูกจ้างทั่วไป,0
บาโงนากอ,37.0,8500.0,ไม่ระบุอาชีพ,0
ต้นสะท้อน,60.0,15000.0,ค้าขาย/ธุรกิจส่วนตัว,0
กะนีกะลูแป,54.0,9000.0,รับจ้าง/ลูกจ้างทั่วไป,0
มุหสินิน,50.0,12000.0,ค้าขาย/ธุรกิจส่วนตัว,0
วิทยาศีล,43.0,9000.0,อาชีพอิสระ/งานบริการ,0
กองทุนหมู่บ้านปูลา,40.0,10000.0,ค้าขาย/ธุรกิจส่วนตัว,0
กอบะ อามานะห์,36.0,7500.0,รับจ้าง/ลูกจ้างทั่วไป,0
มายอใหม่,51.0,10000.0,รับจ้าง/ลูกจ้างทั่วไป,0
ไม่มี,37.0,8500.0,ไม่ระบุอาชีพ,0
ปีนัง,43.0,10000.0,ค้าขาย/ธุรกิจส่วนตัว,0
นูรปะการอ2,61.0,8000.0,ค้าขาย/ธุรกิจส่วนตัว,0
เชาวน์ปัญญา,35.0,15000.0,ข้าราชการ/รัฐวิสาหกิจ,1
มุสลีมะห์ (กุรอานี),37.0,8500.0,ไม่ระบุอาชีพ,0
ซุนนูร,49.0,10000.0,อาชีพอิสระ/งานบริการ,0
อัศศิดดิก,37.0,8500.0,ไม่ระบุอาชีพ,0
ดับเบิ้ลยู-เอช.คอนสตรัคชั่น จำกัด,37.0,8500.0,ไม่ระบุอาชีพ,0
ยามูนอกค่าย,40.0,6000.0,ข้าราชการ/รัฐวิสาหกิจ,1
ซู ดอนรัก,50.0,8500.0,อาชีพอิสระ/งานบริการ,0
ดอนรัก,60.0,5000.0,อาชีพอิสระ/งานบริการ,0
กาฮง,46.0,8000.0,ค้าขาย/ธุรกิจส่วนตัว,0
ดอนรัก2,26.0,5000.0,อาชีพอิสระ/งานบริการ,0
ริสกี บารอกัต,37.0,8500.0,ไม่ระบุอาชีพ,0
นูรุลฮีดายะห์,48.0,7000.0,รับจ้าง/ลูกจ้างทั่วไป,0
